年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2022,11,市区町村,観光来訪者数,18,福井県,18322,永平寺町,80124
2022,11,市区町村,観光来訪者数,18,福井県,18382,池田町,4837
2022,11,市区町村,観光来訪者数,18,福井県,18404,南越前町,16167
2022,11,市区町村,観光来訪者数,18,福井県,18423,越前町,62476
2022,11,市区町村,観光来訪者数,18,福井県,18442,美浜町,12528
2022,11,市区町村,観光来訪者数,18,福井県,18481,高浜町,24887
2022,11,市区町村,観光来訪者数,18,福井県,18483,おおい町,30421
2022,11,市区町村,観光来訪者数,18,福井県,18501,若狭町,59962
2022,12,市区町村,観光来訪者数,18,福井県,18201,福井市,61465
2022,12,市区町村,観光来訪者数,18,福井県,18202,敦賀市,54789
2022,12,市区町村,観光来訪者数,18,福井県,18204,小浜市,21578
2022,12,市区町村,観光来訪者数,18,福井県,18205,大野市,13387
2022,12,市区町村,観光来訪者数,18,福井県,18206,勝山市,40667
2022,12,市区町村,観光来訪者数,18,福井県,18207,鯖江市,14808
2022,12,市区町村,観光来訪者数,18,福井県,18208,あわら市,16042
2022,12,市区町村,観光来訪者数,18,福井県,18209,越前市,19627
2022,12,市区町村,観光来訪者数,18,福井県,18210,坂井市,72421
2022,12,市区町村,観光来訪者数,18,福井県,18322,永平寺町,32298
2022,12,市区町村,観光来訪者数,18,福井県,18382,池田町,791
2022,12,市区町村,観光来訪者数,18,福井県,18404,南越前町,10758
2022,12,市区町村,観光来訪者数,18,福井県,18423,越前町,36156
2022,12,市区町村,観光来訪者数,18,福井県,18442,美浜町,6503
2022,12,市区町村,観光来訪者数,18,福井県,18481,高浜町,12432
2022,12,市区町村,観光来訪者数,18,福井県,18483,おおい町,14756
2022,12,市区町村,観光来訪者数,18,福井県,18501,若狭町,34756
2023,1,市区町村,観光来訪者数,18,福井県,18201,福井市,59776
2023,1,市区町村,観光来訪者数,18,福井県,18202,敦賀市,30635
2023,1,市区町村,観光来訪者数,18,福井県,18204,小浜市,13579
2023,1,市区町村,観光来訪者数,18,福井県,18205,大野市,19730
2023,1,市区町村,観光来訪者数,18,福井県,18206,勝山市,79853
2023,1,市区町村,観光来訪者数,18,福井県,18207,鯖江市,11431
2023,1,市区町村,観光来訪者数,18,福井県,18208,あわら市,10206
2023,1,市区町村,観光来訪者数,18,福井県,18209,越前市,35332
2023,1,市区町村,観光来訪者数,18,福井県,18210,坂井市,60135
2023,1,市区町村,観光来訪者数,18,福井県,18322,永平寺町,17971
2023,1,市区町村,観光来訪者数,18,福井県,18382,池田町,1420
2023,1,市区町村,観光来訪者数,18,福井県,18404,南越前町,8632
2023,1,市区町村,観光来訪者数,18,福井県,18423,越前町,27000
2023,1,市区町村,観光来訪者数,18,福井県,18442,美浜町,3391
2023,1,市区町村,観光来訪者数,18,福井県,18481,高浜町,11230
2023,1,市区町村,観光来訪者数,18,福井県,18483,おおい町,9167
